Strng:getting paid &amp<count> Count:4<count> Probability:1.0
Strng:being told i'm<count> Count:4<count> Probability:0.6
Strng:walking past someone<count> Count:4<count> Probability:1.0
Strng:redoing work i<count> Count:4<count> Probability:1.0
Strng:being ignored #thanks<count> Count:4<count> Probability:1.0
Strng:seeing happy couples<count> Count:4<count> Probability:1.0
Strng:having dinner alone<count> Count:4<count> Probability:1.0
Strng:being made to<count> Count:4<count> Probability:0.6666667
Strng:paying bills best<count> Count:4<count> Probability:1.0
Strng:getting called in<count> Count:4<count> Probability:1.0
Strng:being samoan always<count> Count:4<count> Probability:0.01
Strng:being accused of<count> Count:4<count> Probability:0.6
Strng:making meat and<count> Count:4<count> Probability:1.0
Strng:being hit on<count> Count:4<count> Probability:1.0
Strng:sleeping on the<count> Count:4<count> Probability:0.5
Strng:being ignored all<count> Count:4<count> Probability:1.0
Strng:feeling stressed and<count> Count:4<count> Probability:1.0
Strng:sitting next to<count> Count:4<count> Probability:0.42857143
Strng:people who are<count> Count:4<count> Probability:0.33333334
Strng:living in this<count> Count:3<count> Probability:0.5
Strng:waking up way<count> Count:3<count> Probability:1.0
Strng:having to wake<count> Count:3<count> Probability:0.5833333
Strng:waking up &<count> Count:3<count> Probability:0.8
Strng:listening to my<count> Count:3<count> Probability:0.3
Strng:watching all the<count> Count:3<count> Probability:0.5714286
Strng:waking up not<count> Count:3<count> Probability:1.0
Strng:waiting {number} min<count> Count:3<count> Probability:0.01
Strng:nothing more than<count> Count:3<count> Probability:0.5
Strng:spending valentines day<count> Count:3<count> Probability:1.0
Strng:working on the<count> Count:3<count> Probability:0.46666667
Strng:being the {number}<count> Count:3<count> Probability:0.01
Strng:sitting in a<count> Count:3<count> Probability:0.6363636
Strng:wakin up at<count> Count:3<count> Probability:1.0
Strng:getting my ass<count> Count:3<count> Probability:1.0
Strng:sitting by myself<count> Count:3<count> Probability:1.0
Strng:being at school<count> Count:3<count> Probability:0.5
Strng:being the last<count> Count:3<count> Probability:1.0
Strng:having to do<count> Count:3<count> Probability:0.6
Strng:being on hold<count> Count:3<count> Probability:1.0
Strng:being on the<count> Count:3<count> Probability:0.5625
Strng:being at work<count> Count:3<count> Probability:0.9
Strng:staying in on<count> Count:3<count> Probability:0.8
Strng:working on my<count> Count:3<count> Probability:0.6
Strng:spending my last<count> Count:3<count> Probability:1.0
Strng:spending my whole<count> Count:3<count> Probability:0.8888889
Strng:listening to women<count> Count:3<count> Probability:1.0
Strng:walking in my<count> Count:3<count> Probability:0.8
Strng:spending my day<count> Count:3<count> Probability:0.90909094
Strng:scratches on my<count> Count:3<count> Probability:0.6
Strng:doing absolutely nothing<count> Count:3<count> Probability:0.6923077
Strng:smelling like chlorine<count> Count:3<count> Probability:1.0
Strng:walking to the<count> Count:3<count> Probability:0.6666667
Strng:cuddling with my<count> Count:3<count> Probability:0.44444445
Strng:homework so much<count> Count:3<count> Probability:1.0
Strng:working from {number}<count> Count:3<count> Probability:0.01
Strng:looking at all<count> Count:3<count> Probability:0.6666667
Strng:people that are<count> Count:3<count> Probability:0.3529412
Strng:people who come<count> Count:3<count> Probability:0.8
Strng:having a {number}<count> Count:3<count> Probability:0.01
Strng:having a phone<count> Count:3<count> Probability:0.375
Strng:staying up until<count> Count:3<count> Probability:0.4
Strng:sounding like a<count> Count:3<count> Probability:0.8888889
Strng:driving in the<count> Count:3<count> Probability:0.6
Strng:waiting around for<count> Count:3<count> Probability:1.0
Strng:riding the bus<count> Count:3<count> Probability:0.85714287
Strng:feeling like the<count> Count:3<count> Probability:0.27272728
Strng:working all day<count> Count:3<count> Probability:0.90909094
Strng:spending all day<count> Count:3<count> Probability:0.8
Strng:everyone on the<count> Count:3<count> Probability:0.5
Strng:taking freezing cold<count> Count:2<count> Probability:1.0
Strng:putting money into<count> Count:2<count> Probability:1.0
Strng:people that cause<count> Count:2<count> Probability:1.0
Strng:being stuck behind<count> Count:2<count> Probability:1.0
Strng:golf season but<count> Count:2<count> Probability:1.0
Strng:being ignoured #fu<count> Count:2<count> Probability:0.01
Strng:getting called to<count> Count:2<count> Probability:0.5
Strng:watching tv not<count> Count:2<count> Probability:1.0
Strng:doing math with<count> Count:2<count> Probability:1.0
Strng:feeling involved important<count> Count:2<count> Probability:1.0
Strng:running late #not<count> Count:2<count> Probability:0.01
Strng:being late for<count> Count:2<count> Probability:0.6666667
Strng:hearing about your<count> Count:2<count> Probability:1.0
Strng:having practice right<count> Count:2<count> Probability:1.0
Strng:greeting customers and<count> Count:2<count> Probability:1.0
Strng:being home #donteverwannaleave<count> Count:2<count> Probability:1.0
Strng:getting smacked in<count> Count:2<count> Probability:1.0
Strng:doing {number} minutes<count> Count:2<count> Probability:0.01
Strng:showing off but<count> Count:2<count> Probability:1.0
Strng:starting off my<count> Count:2<count> Probability:1.0
Strng:getting sick before<count> Count:2<count> Probability:1.0
Strng:doin everything last<count> Count:2<count> Probability:1.0
Strng:having all my<count> Count:2<count> Probability:0.4
Strng:doing school work<count> Count:2<count> Probability:1.0
Strng:being second choice<count> Count:2<count> Probability:1.0
Strng:receiving spam mail<count> Count:2<count> Probability:0.01
Strng:seeing band aids<count> Count:2<count> Probability:1.0
Strng:seeing people i<count> Count:2<count> Probability:0.25
Strng:getting done with<count> Count:2<count> Probability:1.0
Strng:cleaning up after<count> Count:2<count> Probability:1.0
Strng:being scratches and<count> Count:2<count> Probability:1.0
Strng:being being bullied<count> Count:2<count> Probability:0.01
