Strng:washing<count> Count:3<count> Probability:0.1292517
Strng:someone<count> Count:3<count> Probability:0.19498725
Strng:sweating<count> Count:3<count> Probability:0.47368422
Strng:greeting<count> Count:2<count> Probability:0.0625
Strng:shooting<count> Count:2<count> Probability:0.055172414
Strng:music<count> Count:2<count> Probability:0.1255449
Strng:memorizing<count> Count:2<count> Probability:0.71428573
Strng:doesn't<count> Count:2<count> Probability:0.31208998
Strng:moving<count> Count:2<count> Probability:0.17826086
Strng:unfollowers<count> Count:2<count> Probability:0.37931034
Strng:shaking<count> Count:2<count> Probability:0.19298245
Strng:boiling<count> Count:2<count> Probability:0.36363637
Strng:walkin<count> Count:2<count> Probability:0.3557047
Strng:turning<count> Count:2<count> Probability:0.26027396
Strng:rolling<count> Count:2<count> Probability:0.13445379
Strng:golf<count> Count:2<count> Probability:0.31707317
Strng:transposing<count> Count:2<count> Probability:1.0
Strng:humanity<count> Count:2<count> Probability:0.3529412
Strng:chemistry<count> Count:2<count> Probability:0.4552239
Strng:ruined<count> Count:2<count> Probability:0.26881722
Strng:entering<count> Count:2<count> Probability:0.2857143
Strng:scrubbing<count> Count:2<count> Probability:0.25
Strng:busing<count> Count:2<count> Probability:1.1111111E-14
Strng:notes<count> Count:2<count> Probability:0.2923077
Strng:girls<count> Count:2<count> Probability:0.15085639
Strng:enjoying<count> Count:2<count> Probability:0.27906978
Strng:contact<count> Count:2<count> Probability:0.1773399
Strng:copying<count> Count:2<count> Probability:0.44444445
Strng:textin<count> Count:2<count> Probability:0.38080496
Strng:spoilers<count> Count:2<count> Probability:0.22222222
Strng:sittin<count> Count:2<count> Probability:0.5010101
Strng:needles<count> Count:2<count> Probability:0.21052632
Strng:writting<count> Count:2<count> Probability:0.25
Strng:mondays<count> Count:2<count> Probability:0.70422536
Strng:marching<count> Count:2<count> Probability:0.6363636
Strng:delayed<count> Count:2<count> Probability:0.43333334
Strng:thanks<count> Count:2<count> Probability:0.55028963
Strng:animals<count> Count:2<count> Probability:0.15151516
Strng:curling<count> Count:2<count> Probability:0.16666667
Strng:idiots<count> Count:2<count> Probability:0.51086956
Strng:wakeing<count> Count:2<count> Probability:1.0
Strng:volleyball<count> Count:2<count> Probability:0.5344828
Strng:meetings<count> Count:2<count> Probability:0.5952381
Strng:dog<count> Count:2<count> Probability:0.20673077
Strng:wait<count> Count:2<count> Probability:0.36147267
Strng:thinking<count> Count:2<count> Probability:0.09022556
Strng:summer<count> Count:2<count> Probability:0.23728813
Strng:payday<count> Count:2<count> Probability:0.23333333
Strng:health<count> Count:2<count> Probability:0.15777777
Strng:throbbing<count> Count:2<count> Probability:0.4
Strng:radio<count> Count:2<count> Probability:0.11340206
Strng:hacking<count> Count:2<count> Probability:0.2
Strng:downloading<count> Count:2<count> Probability:0.13043478
Strng:nightmares<count> Count:2<count> Probability:0.14583333
Strng:rushing<count> Count:2<count> Probability:0.29268292
