Token:having quizzes that<delim> Count:4<delim> Probability:1.0
Token:working doubles all<delim> Count:4<delim> Probability:0.01
Token:being called an<delim> Count:4<delim> Probability:1.0
Token:getting ditched for<delim> Count:4<delim> Probability:1.0
Token:watching fresh beat<delim> Count:4<delim> Probability:1.0
Token:being ignored d<delim> Count:4<delim> Probability:1.0
Token:being told what<delim> Count:4<delim> Probability:1.0
Token:having bruises the<delim> Count:4<delim> Probability:1.0
Token:having practice on<delim> Count:4<delim> Probability:1.0
Token:coming to school<delim> Count:4<delim> Probability:0.44444445
Token:setting my alarm<delim> Count:4<delim> Probability:0.6666667
Token:getting called into<delim> Count:4<delim> Probability:1.0
Token:having terrible wifi<delim> Count:4<delim> Probability:1.0
Token:going to class<delim> Count:4<delim> Probability:0.5714286
Token:having to get<delim> Count:4<delim> Probability:0.7692308
Token:working till {number}<delim> Count:4<delim> Probability:0.01
Token:feeling left out<delim> Count:4<delim> Probability:1.0
Token:getting sick and<delim> Count:4<delim> Probability:0.6666667
Token:spending time with<delim> Count:4<delim> Probability:0.5
Token:getting treated like<delim> Count:4<delim> Probability:1.0
Token:getting texts from<delim> Count:4<delim> Probability:0.75
Token:getting shoved from<delim> Count:4<delim> Probability:1.0
Token:being alone on<delim> Count:4<delim> Probability:1.0
Token:feeling ignored #ohwell<delim> Count:4<delim> Probability:0.01
Token:getting sick in<delim> Count:4<delim> Probability:1.0
Token:being stalked it<delim> Count:4<delim> Probability:1.0
Token:paying bills so<delim> Count:4<delim> Probability:1.0
Token:being told how<delim> Count:4<delim> Probability:1.0
Token:doing lab reports<delim> Count:4<delim> Probability:1.0
Token:being ignored #notreally<delim> Count:4<delim> Probability:1.0
Token:having chapped lips<delim> Count:4<delim> Probability:1.0
Token:getting stood up<delim> Count:4<delim> Probability:1.0
Token:hitting red lights<delim> Count:4<delim> Probability:1.0
Token:having a cold<delim> Count:4<delim> Probability:1.0
Token:being ignored #bestfeelingever<delim> Count:4<delim> Probability:1.0
Token:texting someone and<delim> Count:4<delim> Probability:0.85714287
Token:living next to<delim> Count:4<delim> Probability:1.0
Token:working {number} hours<delim> Count:4<delim> Probability:0.01
Token:trying steak ribs<delim> Count:4<delim> Probability:1.0
Token:eating by myself<delim> Count:4<delim> Probability:1.0
Token:getting kicked in<delim> Count:4<delim> Probability:1.0
Token:getting home from<delim> Count:4<delim> Probability:0.6666667
Token:being sick during<delim> Count:4<delim> Probability:1.0
Token:being ignored when<delim> Count:4<delim> Probability:1.0
Token:being raped by<delim> Count:4<delim> Probability:1.0
Token:being blinded by<delim> Count:4<delim> Probability:1.0
Token:getting emails from<delim> Count:4<delim> Probability:1.0
Token:getting paid &amp<delim> Count:4<delim> Probability:1.0
Token:being told i'm<delim> Count:4<delim> Probability:0.6
Token:walking past someone<delim> Count:4<delim> Probability:1.0
Token:redoing work i<delim> Count:4<delim> Probability:1.0
Token:being ignored #thanks<delim> Count:4<delim> Probability:1.0
Token:seeing happy couples<delim> Count:4<delim> Probability:1.0
Token:having dinner alone<delim> Count:4<delim> Probability:1.0
Token:being made to<delim> Count:4<delim> Probability:0.6666667
Token:paying bills best<delim> Count:4<delim> Probability:1.0
Token:getting called in<delim> Count:4<delim> Probability:1.0
Token:being samoan always<delim> Count:4<delim> Probability:0.01
Token:being accused of<delim> Count:4<delim> Probability:0.6
Token:making meat and<delim> Count:4<delim> Probability:1.0
Token:being hit on<delim> Count:4<delim> Probability:1.0
Token:sleeping on the<delim> Count:4<delim> Probability:0.5
Token:being ignored all<delim> Count:4<delim> Probability:1.0
Token:feeling stressed and<delim> Count:4<delim> Probability:1.0
Token:sitting next to<delim> Count:4<delim> Probability:0.42857143
Token:people who are<delim> Count:4<delim> Probability:0.33333334
Token:living in this<delim> Count:3<delim> Probability:0.5
Token:waking up way<delim> Count:3<delim> Probability:1.0
Token:having to wake<delim> Count:3<delim> Probability:0.5833333
Token:waking up &<delim> Count:3<delim> Probability:0.8
Token:listening to my<delim> Count:3<delim> Probability:0.3
Token:watching all the<delim> Count:3<delim> Probability:0.5714286
Token:waking up not<delim> Count:3<delim> Probability:1.0
Token:waiting {number} min<delim> Count:3<delim> Probability:0.01
Token:nothing more than<delim> Count:3<delim> Probability:0.5
Token:spending valentines day<delim> Count:3<delim> Probability:1.0
Token:working on the<delim> Count:3<delim> Probability:0.46666667
Token:being the {number}<delim> Count:3<delim> Probability:0.01
Token:sitting in a<delim> Count:3<delim> Probability:0.6363636
Token:wakin up at<delim> Count:3<delim> Probability:1.0
Token:getting my ass<delim> Count:3<delim> Probability:1.0
Token:sitting by myself<delim> Count:3<delim> Probability:1.0
Token:being at school<delim> Count:3<delim> Probability:0.5
Token:being the last<delim> Count:3<delim> Probability:1.0
Token:having to do<delim> Count:3<delim> Probability:0.6
Token:being on hold<delim> Count:3<delim> Probability:1.0
Token:being on the<delim> Count:3<delim> Probability:0.5625
Token:being at work<delim> Count:3<delim> Probability:0.9
Token:staying in on<delim> Count:3<delim> Probability:0.8
Token:working on my<delim> Count:3<delim> Probability:0.6
Token:spending my last<delim> Count:3<delim> Probability:1.0
Token:spending my whole<delim> Count:3<delim> Probability:0.8888889
Token:listening to women<delim> Count:3<delim> Probability:1.0
Token:walking in my<delim> Count:3<delim> Probability:0.8
Token:spending my day<delim> Count:3<delim> Probability:0.90909094
Token:scratches on my<delim> Count:3<delim> Probability:0.6
Token:doing absolutely nothing<delim> Count:3<delim> Probability:0.6923077
Token:smelling like chlorine<delim> Count:3<delim> Probability:1.0
Token:walking to the<delim> Count:3<delim> Probability:0.6666667
Token:cuddling with my<delim> Count:3<delim> Probability:0.44444445
Token:homework so much<delim> Count:3<delim> Probability:1.0
Token:working from {number}<delim> Count:3<delim> Probability:0.01
Token:looking at all<delim> Count:3<delim> Probability:0.6666667
Token:people that are<delim> Count:3<delim> Probability:0.3529412
Token:people who come<delim> Count:3<delim> Probability:0.8
Token:having a {number}<delim> Count:3<delim> Probability:0.01
Token:having a phone<delim> Count:3<delim> Probability:0.375
Token:staying up until<delim> Count:3<delim> Probability:0.4
Token:sounding like a<delim> Count:3<delim> Probability:0.8888889
Token:driving in the<delim> Count:3<delim> Probability:0.6
Token:waiting around for<delim> Count:3<delim> Probability:1.0
Token:riding the bus<delim> Count:3<delim> Probability:0.85714287
Token:feeling like the<delim> Count:3<delim> Probability:0.27272728
Token:working all day<delim> Count:3<delim> Probability:0.90909094
Token:spending all day<delim> Count:3<delim> Probability:0.8
Token:everyone on the<delim> Count:3<delim> Probability:0.5
Token:taking freezing cold<delim> Count:2<delim> Probability:1.0
Token:putting money into<delim> Count:2<delim> Probability:1.0
Token:people that cause<delim> Count:2<delim> Probability:1.0
Token:being stuck behind<delim> Count:2<delim> Probability:1.0
Token:golf season but<delim> Count:2<delim> Probability:1.0
Token:being ignoured #fu<delim> Count:2<delim> Probability:0.01
Token:getting called to<delim> Count:2<delim> Probability:0.5
Token:watching tv not<delim> Count:2<delim> Probability:1.0
Token:doing math with<delim> Count:2<delim> Probability:1.0
Token:feeling involved important<delim> Count:2<delim> Probability:1.0
Token:running late #not<delim> Count:2<delim> Probability:0.01
Token:being late for<delim> Count:2<delim> Probability:0.6666667
Token:hearing about your<delim> Count:2<delim> Probability:1.0
Token:having practice right<delim> Count:2<delim> Probability:1.0
Token:greeting customers and<delim> Count:2<delim> Probability:1.0
Token:being home #donteverwannaleave<delim> Count:2<delim> Probability:1.0
Token:getting smacked in<delim> Count:2<delim> Probability:1.0
Token:doing {number} minutes<delim> Count:2<delim> Probability:0.01
Token:showing off but<delim> Count:2<delim> Probability:1.0
Token:starting off my<delim> Count:2<delim> Probability:1.0
Token:getting sick before<delim> Count:2<delim> Probability:1.0
Token:doin everything last<delim> Count:2<delim> Probability:1.0
Token:having all my<delim> Count:2<delim> Probability:0.4
Token:doing school work<delim> Count:2<delim> Probability:1.0
Token:being second choice<delim> Count:2<delim> Probability:1.0
Token:receiving spam mail<delim> Count:2<delim> Probability:0.01
Token:seeing band aids<delim> Count:2<delim> Probability:1.0
Token:seeing people i<delim> Count:2<delim> Probability:0.25
Token:getting done with<delim> Count:2<delim> Probability:1.0
Token:cleaning up after<delim> Count:2<delim> Probability:1.0
Token:being scratches and<delim> Count:2<delim> Probability:1.0
Token:being being bullied<delim> Count:2<delim> Probability:0.01
Token:buying leggings for<delim> Count:2<delim> Probability:1.0
Token:texting people and<delim> Count:2<delim> Probability:1.0
Token:mornings in my<delim> Count:2<delim> Probability:1.0
Token:being awake dumb<delim> Count:2<delim> Probability:1.0
Token:being in college<delim> Count:2<delim> Probability:1.0
Token:being sick the<delim> Count:2<delim> Probability:1.0
Token:being attractive #tired<delim> Count:2<delim> Probability:0.01
Token:fire alarms when<delim> Count:2<delim> Probability:1.0
Token:doing laundry when<delim> Count:2<delim> Probability:1.0
Token:spending my class<delim> Count:2<delim> Probability:1.0
Token:playing monster trucks<delim> Count:2<delim> Probability:1.0
Token:getting ignored #xboxstrikesagain<delim> Count:2<delim> Probability:0.01
Token:being hit in<delim> Count:2<delim> Probability:1.0
Token:getting buckets of<delim> Count:2<delim> Probability:1.0
Token:sitting on hold<delim> Count:2<delim> Probability:1.0
Token:getting assigned papers<delim> Count:2<delim> Probability:1.0
Token:feeling rejected and<delim> Count:2<delim> Probability:0.01
Token:hearing things about<delim> Count:2<delim> Probability:1.0
Token:getting replaced #ihateit<delim> Count:2<delim> Probability:0.01
Token:being called &amp<delim> Count:2<delim> Probability:1.0
Token:taking notes for<delim> Count:2<delim> Probability:1.0
Token:having homework even<delim> Count:2<delim> Probability:1.0
Token:kicking elbows at<delim> Count:2<delim> Probability:1.0
Token:being greeted by<delim> Count:2<delim> Probability:1.0
Token:getting stuff for<delim> Count:2<delim> Probability:1.0
Token:getting my car<delim> Count:2<delim> Probability:0.6666667
Token:having full body<delim> Count:2<delim> Probability:0.01
Token:being alone {number}<delim> Count:2<delim> Probability:0.01
Token:getting in trouble<delim> Count:2<delim> Probability:0.6
Token:getting charged a<delim> Count:2<delim> Probability:1.0
Token:being ignored #tiredofthis<delim> Count:2<delim> Probability:0.01
Token:getting hate it<delim> Count:2<delim> Probability:1.0
Token:getting my teeth<delim> Count:2<delim> Probability:1.0
Token:being approached by<delim> Count:2<delim> Probability:1.0
Token:checking references #recruitment<delim> Count:2<delim> Probability:0.01
Token:getting punched and<delim> Count:2<delim> Probability:1.0
Token:spending time at<delim> Count:2<delim> Probability:1.0
Token:feeling betrayed i<delim> Count:2<delim> Probability:0.01
Token:throbbing headaches when<delim> Count:2<delim> Probability:1.0
Token:hearing sirens outside<delim> Count:2<delim> Probability:1.0
Token:downloading apps or<delim> Count:2<delim> Probability:1.0
Token:being locked in<delim> Count:2<delim> Probability:1.0
Token:being friend zoned<delim> Count:2<delim> Probability:0.5
Token:going {number} mph<delim> Count:2<delim> Probability:0.01
Token:seeing the hairy<delim> Count:2<delim> Probability:1.0
Token:doing math based<delim> Count:2<delim> Probability:1.0
Token:being people's second<delim> Count:2<delim> Probability:1.0
Token:sleeping in a<delim> Count:2<delim> Probability:0.5
Token:gettin woke up<delim> Count:2<delim> Probability:1.0
Token:hearing my mom<delim> Count:2<delim> Probability:1.0
Token:being scheduled so<delim> Count:2<delim> Probability:1.0
Token:gettin stuck behind<delim> Count:2<delim> Probability:1.0
Token:being sick #sleep<delim> Count:2<delim> Probability:0.01
Token:spending my sunday<delim> Count:2<delim> Probability:1.0
Token:being brushed off<delim> Count:2<delim> Probability:1.0
Token:ending a school<delim> Count:2<delim> Probability:1.0
Token:being such a<delim> Count:2<delim> Probability:0.5
Token:getting the cold<delim> Count:2<delim> Probability:1.0
Token:getting cussed at<delim> Count:2<delim> Probability:1.0
Token:being stranded at<delim> Count:2<delim> Probability:1.0
Token:being ignored thanks<delim> Count:2<delim> Probability:1.0
Token:being sick #no<delim> Count:2<delim> Probability:1.0
Token:pmsing fuck you<delim> Count:2<delim> Probability:0.01
Token:being there for<delim> Count:2<delim> Probability:0.6923077
